objectid,route_id,from_measure,to_measure,route_system,route_number,route_direction,rd_seg_id,facility,mile_count,f_class,urban_area,urban_type,f_f_class,jurisdictn,nhs,fd_aid_rd,control,num_lanes,opp_lanes,surface_tp,surface_wd,shldr_rt_w,shldr_rt_t,shldr_lt_w,shldr_lt_t,shldr_ul_w,shldr_ul_t,med_width,med_type,curb,lt_sidewlk,rt_sidewlk,pd_sf_type,pd_fc_type,operation,speed_lim,op_dir_sl,speed,t_exc_type,t_exc_time,trk_permit,trk_netwrk,truck_rte,row_width,struct_cnd,terrain,toll_road,mhs,city,mun_type,county,hwy_dist,mpo,rpa,rta,st_name,fm_st_name,to_st_name,city_maint,aadt,aadt_year,aadt_deriv,statn_num,stationid,length,iri,iri_year,psi,psi_year,rutting,crk_ftigue,crk_trnsvs,testdate,st_length_shape_
1,I495 NB,113.997000040000003,114.097000029999990,I,495,NB,178189,1,1,1,09271,1,1,1,1,1,1,3,3,6,36.000000000000000,10.000000000000000,3,4.000000000000000,3,0.000000000000000,0,99.000000000000000,2,0,0,0,,,2,65,0,65,1,1,,,1,300.000000000000000,1,1,,,128,1,9,4,Merrimack Valley,MVPC,MVRTA,INTERSTATE 495,METHUEN TOWN LINE,MERRIMAC TOWN LINE,128,70596,2017,1,,,0.098366360000000,33.767000000000003,2017,3.940000000000000,2017,0.103400000000000,0.000000000000000,,10/19/2017 0:00:00,158.305306292651608
2,I495 SB,16.306000010000002,16.405999989999998,I,495,SB,244713,1,0,1,09271,1,1,1,1,1,1,3,3,6,36.000000000000000,10.000000000000000,3,4.000000000000000,3,0.000000000000000,0,90.000000000000000,2,0,0,0,,,2,65,0,65,,,,1,,300.000000000000000,1,1,,,181,2,9,4,Merrimack Valley,MVPC,MVRTA,INTERSTATE 495,LAWRENCE CITY LINE,HAVERHILL CITY LINE,181,97292,2014,1,5004,5004,0.098055790000000,55.854999999999997,2017,3.393000000000000,2017,0.157200000000000,0.716540400000000,,10/19/2017 0:00:00,157.805497235736112
3,I495 NB,24.408999999999999,24.456110339999999,I,495,NB,376125,1,1,1,09271,1,1,1,1,1,1,3,3,6,36.000000000000000,10.000000000000000,3,4.000000000000000,3,0.000000000000000,0,99.000000000000000,2,0,0,0,,,2,65,0,65,1,1,,,1,200.000000000000000,1,1,,,293,1,5,5,Southeastern Massachusetts,SRPEDD,GATRA,INTERSTATE 495,RAYNHAM TOWN LINE,NORTON TOWN LINE,293,77361,2017,6,,,0.046340750000000,46.277999999999999,2017,4.100000000000000,2017,0.123300000000000,0.220385670000000,,10/17/2017 0:00:00,74.578210511985333
4,I495 NB,20.118999980000002,20.219000030000000,I,495,NB,72928,1,1,1,09271,1,1,1,1,1,1,3,3,6,36.000000000000000,10.000000000000000,3,4.000000000000000,3,0.000000000000000,0,99.000000000000000,2,0,0,0,,,2,65,0,65,,,,1,,200.000000000000000,1,1,,,42,2,23,5,Old Colony,OCPC,BAT,INTERSTATE 495,RAYNHAM TOWN LINE,RAYNHAM TOWN LINE,42,65821,2017,6,,,0.098366370000000,37.948999999999998,2017,4.500000000000000,2017,0.175200000000000,0.000000000000000,,10/17/2017 0:00:00,158.305321840388046
5,I190 SB,10.751999979999999,10.755517240000000,I,190,SB,407466,1,0,1,97291,1,1,1,1,1,1,2,2,6,24.000000000000000,10.000000000000000,3,4.000000000000000,3,0.000000000000000,0,99.000000000000000,2,,0,0,,,2,65,0,65,1,1,,,1,650.000000000000000,1,1,,,321,2,27,3,Central Massachusetts,CMRPC,WRTA,INTERSTATE 190,,,321,33143,2014,1,3293,3293,0.003596310000000,80.763999999999996,2017,3.263000000000000,2017,0.260300000000000,1.308539940000000,,10/6/2017 0:00:00,5.787705046043725
6,I495 SB,72.262999989999997,72.362999979999998,I,495,SB,248778,1,0,1,09271,1,1,1,1,1,1,3,3,6,36.000000000000000,10.000000000000000,3,4.000000000000000,3,0.000000000000000,0,99.000000000000000,2,0,0,0,,,2,65,0,65,1,1,,,1,90.000000000000000,1,1,,,185,2,27,3,Boston Region,MAPC,NONE,INTERSTATE 495,MEDWAY TOWN LINE,HOPKINTON TOWN LINE,185,79081,2014,1,3321,3321,0.098055900000000,53.395000000000003,2017,4.283000000000000,2017,0.154400000000000,0.000000000000000,,10/18/2017 0:00:00,157.805668618399125
7,I195 WB,21.447500800000000,21.507984449999999,I,195,WB,110929,1,0,1,61786,2,1,1,1,1,1,3,3,6,36.000000000000000,10.000000000000000,3,4.000000000000000,3,0.000000000000000,0,80.000000000000000,2,0,0,0,,,2,65,0,65,1,1,,,1,50.000000000000000,1,1,,,72,2,5,5,Southeastern Massachusetts,SRPEDD,SRTA,INTERSTATE 195,WESTPORT TOWN LINE,NEW BEDFORD CITY LINE,72,64158,2014,1,6107,6107,0.058643290000000,53.341000000000001,2017,4.234000000000000,2017,0.164300000000000,0.000000000000000,,10/10/2017 0:00:00,94.377230141209722
8,I495 NB,67.457000019999995,67.557000000000002,I,495,NB,37039,1,1,1,09271,1,1,1,1,1,1,3,3,6,36.000000000000000,10.000000000000000,3,4.000000000000000,3,0.000000000000000,0,99.000000000000000,2,0,0,0,,,2,65,0,65,,,,1,,300.000000000000000,1,1,,,28,2,27,3,Central Massachusetts,CMRPC,WRTA,INTERSTATE 495,HUDSON TOWN LINE,BOLTON TOWN LINE,28,104745,2017,6,,,0.098366320000000,41.789000000000001,2017,4.031000000000000,2017,0.074800000000000,0.489267680000000,,10/18/2017 0:00:00,158.305254132167050
9,I495 NB,110.917000000000002,110.997000009999994,I,495,NB,175799,1,1,1,09271,1,1,1,1,1,1,3,3,6,36.000000000000000,10.000000000000000,3,4.000000000000000,3,0.000000000000000,0,99.000000000000000,2,0,0,0,,,2,65,0,65,1,1,,,1,300.000000000000000,1,1,,,128,1,9,4,Merrimack Valley,MVPC,MVRTA,INTERSTATE 495,METHUEN TOWN LINE,MERRIMAC TOWN LINE,128,75756,2017,3,,,0.078693060000000,46.545000000000002,2017,4.295000000000000,2017,0.173000000000000,0.000000000000000,,10/19/2017 0:00:00,126.644201365873826
10,I195 WB,31.773976100000002,31.872974000000003,I,195,WB,375248,1,0,1,72505,1,1,1,1,1,1,3,3,6,36.000000000000000,10.000000000000000,3,4.000000000000000,3,0.000000000000000,0,99.000000000000000,2,0,0,0,,,2,65,0,65,,,,1,,50.000000000000000,1,1,,,292,2,5,5,Southeastern Massachusetts,SRPEDD,SRTA,INTERSTATE 195,REHOBOTH TOWN LINE,SOMERSET TOWN LINE,292,65143,2014,1,6628,6628,0.095985760000000,37.890000000000001,2017,4.015000000000000,2017,0.161000000000000,0.103305790000000,,10/10/2017 0:00:00,154.474114912278452
