objectid,town,town_id,pop1980,pop1990,pop2000,popch90_00,type,fourcolor,fips_stco,sum_acres,sum_square_miles,pop2010,popch00_10,popch80_90,st_area_shape_,st_perimeter_shape_
1,LOWELL,160,93473,103439,105167,1728,C,4,25017,9298.780000000000655,14.531000000000001,106519,1352,9966,37630657.865842655301094,28403.664057621695974
2,BEVERLY,30,34575,38195,39862,1667,C,1,25009,9863.262000000000626,15.411000000000000,39502,-360,3620,39915208.474808953702450,38638.706349780615710
3,GLOUCESTER,107,28092,28716,30273,1557,C,3,25009,17088.569999999999709,26.699999999999999,28789,-1484,624,69154959.492442816495895,159379.402957755548414
4,CHESTER,59,1182,1280,1308,28,T,4,25013,23784.923999999999069,37.164000000000001,1337,29,98,96254154.194991946220398,37542.272855489056383
5,WINCHESTER,344,20021,20267,20810,543,T,2,25017,4062.159000000000106,6.347000000000000,21374,564,246,16439015.806798508390784,19080.564131758183066
6,MILLVILLE,188,1911,2236,2724,488,T,1,25027,3178.706000000000131,4.967000000000001,3190,466,325,12736593.760862566530704,15683.743511777338426
8,TOLLAND,297,232,289,426,137,T,3,25013,20999.966000000000349,32.811999999999998,485,59,57,84983826.532520145177841,38616.445183271403948
9,CANTON,50,18177,18530,20775,2245,T,4,25021,12489.086999999999534,19.513999999999999,21561,786,353,50608144.019201822578907,33538.192925845782156
10,MASHPEE,172,4691,7884,12946,5062,T,4,25001,16384.791000000001077,25.600999999999999,14006,1060,3193,66276288.107860103249550,95479.258305523733725
11,LYNNFIELD,164,11191,11274,11542,268,T,4,25009,6683.367000000000189,10.443000000000000,11596,54,83,27042348.047578625380993,27878.230477853267075
12,BARNSTABLE,20,35080,40949,47821,6872,TC,3,25001,40077.809000000001106,62.622000000000000,45193,-2628,5869,162220373.693804174661636,233289.285937099164585
13,DOVER,78,4840,4915,5558,643,T,1,25021,9867.171000000000276,15.417000000000000,5589,31,75,39933244.034444160759449,37756.016717010075809
132,MOUNT WASHINGTON,195,100,135,130,-5,T,1,25003,14329.343999999999141,22.388999999999999,167,37,35,57988843.788644298911095,31618.434309394968295
7,BRIDGEWATER,42,17813,21249,25185,3936,TC,2,25023,18150.291000000001077,28.358000000000001,26563,1378,3436,73451631.191260114312172,39191.801578749582404
39,TYNGSBOROUGH,301,7065,8642,11081,2439,T,3,25017,11564.667999999999665,18.071000000000002,11292,211,1577,46800582.871084846556187,43250.995295987944701
14,MENDON,179,3296,4010,5286,1276,T,3,25027,11511.766999999999825,17.987000000000002,5839,553,714,46571536.130218170583248,30512.750450377236120
15,HUDSON,141,17369,17233,18113,880,T,4,25017,7592.649000000000342,11.863000000000000,19063,950,-136,30726018.374713502824306,30078.812142168877472
16,WESTWOOD,335,12976,12557,14117,1560,T,2,25021,7138.707000000000335,11.154000000000000,14618,501,-419,28956455.609820883721113,29591.130327016937372
17,HOLLAND,135,1583,2185,2407,222,T,3,25013,8357.772000000000844,13.058999999999999,2481,74,602,33799102.573478132486343,24018.916209500490368
18,CAMBRIDGE,49,92535,95802,101355,5553,C,3,25017,4546.960000000000036,7.105000000000000,105162,3807,3267,18400398.668454688042402,26475.684556291529589
19,FITCHBURG,97,39740,41194,39102,-2092,C,4,25027,17994.628000000000611,28.116000000000000,40318,1216,1454,72821334.200499400496483,40863.556763320855680
20,LEOMINSTER,153,34624,38145,41303,3158,C,3,25027,18994.064999999998690,29.678000000000001,40759,-544,3521,76866547.422514408826828,42259.321200923943252
21,LUNENBURG,162,8826,9117,9401,284,T,2,25027,17757.761999999998807,27.745999999999999,10086,685,291,71863140.084567651152611,38127.230727742382442
133,ASHBY,12,2562,2717,2845,128,T,1,25017,15406.763000000000829,24.073000000000000,3074,229,155,62348961.121109955012798,35422.495853435575555
